#uplink	channel	meanADC
87	31	409.685
87	32	409.683
87	33	409.684
87	34	409.698
87	35	409.699
87	36	409.701
87	37	409.672
87	38	409.699
87	39	409.708
87	40	409.7
87	41	409.685
87	42	409.679
87	43	409.711
87	44	409.698
87	45	409.684
87	46	409.692
87	47	409.688
87	48	409.692
87	49	409.68
87	50	409.679
87	51	409.691
87	52	409.685
87	53	409.708
87	54	409.677
87	55	409.69
87	56	409.683
87	57	409.682
87	58	409.678
87	59	409.694
87	60	409.688
87	61	409.677
87	62	409.675
87	63	409.707
